# host=archlinux arch=x86_64 kernel=7.1.8-arch1-3
# honk_bin=/root/honk-main-4c3ade-musl sha256=ba2821e3c5d1d38db4ba434400449e8f84e950c4746fedf6164e1db629d532a7
# dae_bin=/root/dae sha256=f2dc44b5fa96cd1041ed54082d753a75f81e400b2fe40b7817df0acfae36c2d7
# lab-bench 2026-08-26T16:26:07Z engines=(honk dae honk dae honk dae honk dae honk dae) protos=(juicity)
| engine | protocol | cold(s) | hot p50(s) | hot p95(s) | bw(Mbps) | cpu(cores) | rss(MB) |
| --- | --- | --- | --- | --- | --- | --- | --- |
# engine=honk
| honk | direct | 0.001597 | - | - | 9401 | 0.00 | 41 |
| honk | juicity | 0.001578 | 0.001226 | 0.001451 | 6969 | 0.65 | 43 |
| honk | juicity/udp | 0.000085 | - | - | 1225(71.3%) | 0.45 | - |
# engine=dae
| dae | direct | 0.001314 | - | - | 9404 | 0.00 | 40 |
| dae | juicity | 0.004354 | 0.001226 | 0.001246 | 6668 | 0.82 | 50 |
| dae | juicity/udp | 0.000110 | - | - | 1283(70.1%) | 0.43 | - |
# engine=honk
| honk | direct | 0.001235 | - | - | 9409 | 0.00 | 38 |
| honk | juicity | 0.001364 | 0.000880 | 0.001161 | 7063 | 0.63 | 40 |
| honk | juicity/udp | 0.000143 | - | - | 1174(73.1%) | 0.42 | - |
# engine=dae
| dae | direct | 0.000900 | - | - | 9406 | 0.00 | 40 |
| dae | juicity | 0.003661 | 0.001155 | 0.002168 | 6588 | 0.84 | 47 |
| dae | juicity/udp | 0.000096 | - | - | 1303(69.9%) | 0.45 | - |
# engine=honk
| honk | direct | 0.001380 | - | - | 9385 | 0.00 | 74 |
| honk | juicity | 0.005471 | 0.001064 | 0.001207 | 6863 | 0.63 | 41 |
| honk | juicity/udp | 0.000109 | - | - | 1194(71.0%) | 0.44 | - |
# engine=dae
| dae | direct | 0.001641 | - | - | 9409 | 0.00 | 38 |
| dae | juicity | 0.004220 | 0.000926 | 0.001353 | 6501 | 0.83 | 48 |
| dae | juicity/udp | 0.000136 | - | - | 1297(69.4%) | 0.44 | - |
# engine=honk
| honk | direct | 0.001527 | - | - | 9404 | 0.00 | 41 |
| honk | juicity | 0.001675 | 0.001045 | 0.001309 | 6877 | 0.64 | 41 |
| honk | juicity/udp | 0.000102 | - | - | 1246(71.3%) | 0.46 | - |
# engine=dae
| dae | direct | 0.001130 | - | - | 9396 | 0.00 | 39 |
| dae | juicity | 0.003681 | 0.001009 | 0.001055 | 6452 | 0.82 | 50 |
| dae | juicity/udp | 0.000117 | - | - | 1335(69.9%) | 0.47 | - |
# engine=honk
| honk | direct | 0.001423 | - | - | 9404 | 0.00 | 73 |
| honk | juicity | 0.001641 | 0.001023 | 0.001411 | 6941 | 0.66 | 43 |
| honk | juicity/udp | 0.000123 | - | - | 1226(70.9%) | 0.47 | - |
# engine=dae
| dae | direct | 0.000981 | - | - | 9403 | 0.00 | 38 |
| dae | juicity | 0.003828 | 0.001388 | 0.002019 | 6527 | 0.81 | 51 |
| dae | juicity/udp | 0.000205 | - | - | 1262(70.4%) | 0.45 | - |
